time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448600000	20.0024	14.7805	4.87493	1.85844	0.553192	lidar	1.64389	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.9273	15.0103	4.87266	1.88613	0.552407	radar	0.730942	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8914	15.2322	4.85753	1.89903	0.539909	lidar	0.584055	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7831	15.4537	4.85156	1.94257	0.560982	radar	3.04481	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7469	15.654	4.81428	1.95274	0.546389	lidar	1.27948	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6463	15.8722	4.81176	1.98402	0.550843	radar	0.315764	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5295	16.0765	4.80089	2.01844	0.557203	lidar	0.263394	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.421	16.2892	4.79945	2.04592	0.555857	radar	0.582633	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2914	16.459	4.76111	2.08319	0.565278	lidar	1.36738	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1681	16.6627	4.76038	2.11365	0.567922	radar	0.0561303	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0329	16.8597	4.75903	2.14572	0.571176	lidar	0.0460562	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8882	17.0528	4.7598	2.18387	0.584212	radar	1.9984	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.7181	17.2701	4.79836	2.2197	0.588868	lidar	0.832515	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5875	17.4676	4.79779	2.23732	0.573684	radar	1.55619	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3584	17.6316	4.81609	2.29404	0.597647	lidar	2.44861	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2089	17.8165	4.81455	2.31474	0.585645	radar	1.10169	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0818	18.0036	4.80441	2.33017	0.573853	lidar	0.617762	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9086	18.1709	4.80386	2.36213	0.577511	radar	0.194653	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7709	18.3163	4.76279	2.38454	0.573085	lidar	0.950646	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.612	18.4907	4.76313	2.40365	0.562654	radar	1.68407	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4237	18.6586	4.77876	2.43248	0.56281	lidar	0.12889	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2393	18.8101	4.77812	2.46088	0.562778	radar	0.119942	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.0776	18.9454	4.74919	2.48478	0.559899	lidar	0.4708	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9006	19.1005	4.74878	2.50439	0.550618	radar	1.11433	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.676	19.1986	4.7412	2.54968	0.566282	lidar	1.10647	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.4865	19.3378	4.74108	2.57238	0.560442	radar	0.867801	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.2769	19.4938	4.77102	2.59459	0.55458	lidar	0.608391	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.061	19.6021	4.77077	2.6286	0.560504	radar	2.06532	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
