time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	yaw_ground_truth	yawrate_ground_truth	px_estimate	py_estimate	vx_estimate	vy_estimate	yaw_estimate	yawrate_estimate
1477010446550000	17.4736	5.71496	5.17166	0.919498	0.495841	radar	0.274646	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	0.825446	0.432459	17.4736	5.71496	3.13516	4.11301	0.919498	0.495841
1477010446600000	17.7044	5.8163	5.14351	0.87355	0.394688	lidar	1.20391	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0.847069	0.436695	17.7044	5.8163	3.3027	3.94309	0.87355	0.394688
1477010446650000	17.8497	6.02603	5.13851	0.913101	0.438632	radar	0.636611	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.868904	0.440862	17.8497	6.02603	3.14114	4.06663	0.913101	0.438632
1477010446700000	18.0442	6.19883	5.13883	0.906535	0.396153	lidar	0.220477	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.890947	0.444959	18.0442	6.19883	3.16797	4.04617	0.906535	0.396153
1477010446750000	18.1934	6.40684	5.1373	0.93433	0.413962	radar	0.12526	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.913195	0.448987	18.1934	6.40684	3.05339	4.13142	0.93433	0.413962
1477010446800000	18.303	6.64221	5.1355	0.982281	0.454728	lidar	0.236019	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.935644	0.452943	18.303	6.64221	2.85085	4.27153	0.982281	0.454728
1477010446850000	18.4339	6.86209	5.13364	1.01476	0.476255	radar	0.120943	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.958291	0.456828	18.4339	6.86209	2.70964	4.36029	1.01477	0.476255
1477010446900000	18.5959	6.99912	5.08479	0.999627	0.424278	lidar	2.09018	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0.981133	0.46064	18.5959	6.99912	2.74892	4.27768	0.999627	0.424278
1477010446950000	18.7361	7.21174	5.08637	1.016	0.414112	radar	0.0420358	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	1.00417	0.46438	18.7361	7.21174	2.67936	4.32345	1.016	0.414112
1477010447000000	18.9735	7.33549	5.06515	0.959744	0.302761	lidar	1.43533	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	1.02738	0.468047	18.9735	7.33549	2.90603	4.14858	0.959744	0.302761
1477010447050000	19.0772	7.55781	5.05236	1.0099	0.376498	radar	2.30598	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	1.05079	0.47164	19.0772	7.55781	2.6876	4.27822	1.0099	0.376498
1477010447100000	19.1421	7.81826	5.05653	1.07377	0.442924	lidar	0.542321	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	1.07437	0.475158	19.1421	7.81826	2.41103	4.44471	1.07377	0.442924
1477010447150000	19.255	8.04268	5.05503	1.10007	0.451584	radar	0.0502654	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	1.09813	0.478601	19.255	8.04268	2.29262	4.50524	1.10007	0.451584
1477010447200000	19.3125	8.25928	5.02192	1.14621	0.489576	lidar	1.81993	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.12206	0.481969	19.3125	8.25928	2.06877	4.57601	1.14621	0.489576
1477010447250000	19.4103	8.48612	5.01924	1.16794	0.480296	radar	0.835941	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	1.14615	0.48526	19.4103	8.48612	1.96778	4.61743	1.16794	0.480296
1477010447300000	19.4985	8.63856	4.94832	1.1766	0.466216	lidar	4.90348	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	1.17042	0.488475	19.4985	8.63856	1.90049	4.56881	1.1766	0.466216
1477010447350000	19.5814	8.86988	4.9461	1.20815	0.483711	radar	0.117099	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	1.19484	0.491613	19.5814	8.86988	1.75464	4.6244	1.20815	0.483711
1477010447400000	19.7872	9.0242	4.92491	1.15469	0.373568	lidar	1.84093	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	1.21942	0.494673	19.7872	9.0242	1.99068	4.50466	1.15469	0.373568
1477010447450000	19.8617	9.25598	4.92002	1.19483	0.419926	radar	0.533774	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.24416	0.497655	19.8617	9.25598	1.80651	4.57636	1.19483	0.419926
1477010447500000	20.015	9.46125	4.92248	1.17737	0.363731	lidar	0.624519	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	1.26904	0.500558	20.015	9.46125	1.88705	4.54641	1.17737	0.363731
1477010447550000	20.068	9.69775	4.91374	1.23099	0.439047	radar	1.60692	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	1.29407	0.503383	20.068	9.69775	1.63775	4.63278	1.23099	0.439047
1477010447600000	20.152	9.92437	4.91064	1.24937	0.434126	lidar	0.00877323	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	1.31923	0.506127	20.152	9.92437	1.55139	4.65914	1.24937	0.434126
1477010447650000	20.2204	10.1583	4.90921	1.27484	0.440233	radar	0.375565	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	1.34454	0.508793	20.2204	10.1583	1.43179	4.69578	1.27484	0.440233
1477010447700000	20.2449	10.4186	4.91879	1.32442	0.479172	lidar	0.251367	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	1.36998	0.511377	20.2449	10.4186	1.19964	4.77025	1.32442	0.479172
1477010447750000	20.2707	10.6617	4.91293	1.37478	0.533564	radar	1.15408	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	1.39555	0.513881	20.2707	10.6617	0.956863	4.81885	1.37478	0.533564
1477010447800000	20.325	10.92	4.93145	1.39876	0.527564	lidar	0.386174	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.42124	0.516304	20.325	10.92	0.844219	4.85866	1.39876	0.527564
1477010447850000	20.362	11.1624	4.9307	1.42462	0.524469	radar	0.282415	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	1.44706	0.518645	20.362	11.1624	0.718211	4.87811	1.42462	0.524469
1477010447900000	20.3736	11.4	4.92062	1.46134	0.540694	lidar	0.211915	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	1.47299	0.520904	20.3736	11.4	0.537536	4.89117	1.46134	0.540694
1477010447950000	20.3451	11.6473	4.9134	1.5328	0.633157	radar	2.82165	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	1.49904	0.523081	20.3451	11.6473	0.186665	4.90985	1.5328	0.633157
1477010448000000	20.431	11.8881	4.92134	1.52122	0.570839	lidar	1.17177	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	1.52519	0.525176	20.431	11.8881	0.243884	4.91529	1.52122	0.570839
1477010448050000	20.4518	12.1302	4.91976	1.53243	0.527892	radar	1.29913	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	1.55145	0.527187	20.4518	12.1302	0.188721	4.91614	1.53243	0.527892
